scenario,market_phase,trend_regime,vol_regime,risk_tone,confidence,trend_vote,vol_vote,risk_vote,trend_score,vol_score,risk_score,trend_direction_score,vote_disagreement_score,vote_disagreement_score_internal,vote_disagreement_score_provided
trend_up_normal,trend_up,trend_up,normal,risk_on,82.0,trend_up,normal,risk_on,100.0,40.0,1.5,100.0,0.0,,
trend_down_normal,trend_down,trend_down,normal,risk_off,72.0,trend_down,normal,risk_off,100.0,40.0,-1.5,-100.0,0.0,,
range_choppy,range,range,normal,neutral,29.000000000000007,range,normal,neutral,80.0,45.0,0.1,0.0,0.3,,
transition_disagreement,transition,range,high,neutral,0.0,range,high,neutral,45.0,90.0,-0.1,0.0,0.6,,
risk_off_vol_high,trend_down,trend_down,high,risk_off,48.500000000000014,trend_down,high,risk_off,90.0,90.0,-2.0,-90.0,0.3,,
vol_low_risk_on,trend_up,trend_up,low,risk_on,73.6,trend_up,low,risk_on,100.0,12.0,1.2,100.0,0.0,,
neutral_risk,range,range,normal,neutral,16.5,range,normal,neutral,45.0,50.0,0.1,0.0,0.3,,
trend_up_vol_high,transition,trend_up,high,risk_on,61.89999999999999,trend_up,high,risk_on,100.0,88.0,1.0,100.0,0.3,,
trend_up_low_score_borderline,transition,trend_up,normal,neutral,31.110169491525426,trend_up,normal,neutral,81.52542372881356,50.0,0.1,81.52542372881356,0.3,,
trend_down_low_score_borderline,transition,trend_down,normal,neutral,31.110169491525426,trend_down,normal,neutral,81.52542372881356,50.0,-0.1,-81.52542372881356,0.3,,
chop_high_borderline,range,range,normal,neutral,18.72,range,normal,neutral,61.8,45.0,0.0,0.0,0.3,,
chop_low_borderline,range,range,normal,neutral,9.280000000000005,range,normal,neutral,38.2,45.0,0.0,0.0,0.3,,
mixed_up_vol_high_risk_neutral,transition,trend_up,high,neutral,0.0,trend_up,high,neutral,100.0,80.0,0.1,100.0,0.6,,
mixed_down_vol_normal_risk_on,transition,trend_down,normal,risk_on,75.25000000000001,trend_down,normal,risk_on,100.0,50.0,1.0,-100.0,0.15,0.0,0.15
vol_high_borderline_realized_risk_off,range,range,high,risk_off,27.5,range,high,risk_off,45.0,80.0,-1.0,0.0,0.3,,
vol_low_borderline,transition,trend_up,low,neutral,29.5,trend_up,low,neutral,100.0,20.0,0.1,100.0,0.3,,
